item_id,feature,target,stimulus,state,spans,covered,todo,percent,excluded,max_nesting,cross,conditions,directive,detail,source,generate
TP0716,I,ECALL,privilege,partial,3,1,2,33.3,0,1,,let exc_type : ExceptionType = match cur_privilege,execute the same code at this privilege level,opcode_sweep.py --isla-arg=--preload-xpp=mpp=u --isla-arg=--pmp-allow-all,extensions/I/base_insts.sail:543,opcode_sweep.py extensions/I/base_insts.sail
TP1425,V,VSSEGTYPE,fault_path,partial,3,1,2,33.3,0,2,yes,"if mask[i] == 0b1 AND match vmem_write(rs1, to_bits_unsafe(xlen, elem_offset), load_width_bytes, data,",construct the faulting condition and assert the resulting trap,,extensions/V/vext_mem_insts.sail:201,opcode_sweep.py extensions/V/vext_mem_insts.sail
TP1664,Zicbom,encdec_cbie,unclassified,partial,3,1,2,33.3,0,0,,,read the guard and decide what arranges it,,extensions/Zicbom/zicbom_insts.sail:40,opcode_sweep.py extensions/Zicbom/zicbom_insts.sail
TP1791,cfi,update_elp_state,helper_function,partial,3,1,2,33.3,0,1,,if currentlyEnabled(Ext_Zicfilp),execute an instruction that calls this helper: JALR,update_elp_state() reached via 1 instruction(s),extensions/cfi/zicfilp_regs.sail:57,opcode_sweep.py extensions/I/jalr_rmem.sail
TP1986,pmp,pmpWriteCfgReg,pmp,partial,3,1,2,33.3,0,1,,else,program a PMP entry of this match type and access across its boundary,,pmp/pmp_regs.sail:135,opcode_sweep.py pmp/pmp_regs.sail
TP2050,postlude,try_step,fault_path,partial,3,1,2,33.3,0,1,,match step_val,construct the faulting condition and assert the resulting trap,,postlude/step.sail:223,opcode_sweep.py postlude/step.sail
TP2280,sys,satp_accessible,privilege,partial,3,1,2,33.3,0,1,,match priv,execute the same code at this privilege level,(default: the sweep already runs in M-mode),sys/vmem.sail:223,opcode_sweep.py sys/vmem.sail
TP0164,core,legalize_satp,helper_function,partial,11,4,7,36.4,0,3,yes,"if xlen == 32 AND match satpMode_of_bits(arch, 0b000 @ s[Mode]) AND Some(Sv_mode) => match Sv_mode","execute an instruction that calls this helper: CSRImm, CSRReg",legalize_satp() reached via 2 instruction(s),core/sys_regs.sail:734,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
TP0246,A,currentlyEnabled,extension_gate,partial,24,9,15,37.5,0,0,,,"run with this extension enabled, and again with it disabled",Ext_A,extensions/A/zaamo_insts.sail:9,opcode_sweep.py extensions/A/zaamo_insts.sail
TP0151,core,tvec_addr,unclassified,partial,8,3,5,37.5,0,1,,match trapVectorMode(m[Mode]),read the guard and decide what arranges it,,core/sys_regs.sail:505,opcode_sweep.py core/sys_regs.sail
TP0474,FD,wF_or_X_D,extension_gate,partial,8,3,5,37.5,0,1,,else,"run with this extension enabled, and again with it disabled",Ext_F,extensions/FD/fdext_regs.sail:318,opcode_sweep.py extensions/FD/fdext_regs.sail
TP2270,sys,update_and_write_pte,helper_function,partial,8,3,5,37.5,0,2,yes,"match update_PTE_Bits(pte, access) AND then match write_pte(pteAddr, pteWidth, pte)","execute an instruction that calls this helper: amoswap, amoadd, amoxor, amoand, amoor, amomin, amomax, amominu, ...",update_and_write_pte() reached via 8+ instruction(s),sys/vmem.sail:72,opcode_sweep.py extensions/A/zaamo_insts.sail extensions/cfi/zicfiss_insts.sail extensions/Zicbop/zicbop_insts.sail
TP1995,postlude,read_CSR,helper_function,partial,74,28,46,37.8,0,1,,match csr,"execute an instruction that calls this helper: CSRImm, CSRReg",read_CSR() reached via 2 instruction(s),postlude/csr_end.sail:16,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
TP0242,exceptions,reset_tvecs,unclassified,partial,13,5,8,38.5,0,0,,,read the guard and decide what arranges it,,exceptions/sys_exceptions.sail:95,opcode_sweep.py exceptions/sys_exceptions.sail
TP2307,sys,check_PTE_permission,translation,partial,15,6,9,40.0,0,1,,if not(pte_R) & pte_W & not(pte_X),install a page table in this translation mode and fault or walk through it,,sys/vmem_pte.sail:135,opcode_sweep.py sys/vmem_pte.sail
TP0598,FD,haveHalfMin,extension_gate,partial,5,2,3,40.0,0,0,,,"run with this extension enabled, and again with it disabled",Ext_Zfhmin,extensions/FD/zfh_insts.sail:158,opcode_sweep.py extensions/FD/zfh_insts.sail
TP1966,pmp,pmpCheckRWX,helper_function,partial,5,2,3,40.0,0,2,yes,match access AND CacheAccess(CB_prefetch(p)) => match p,"execute an instruction that calls this helper: ZICBOP, ZICBOM, SSPUSH, amoswap, amoadd, amoxor, amoand, amoor, ...",pmpCheckRWX() reached via 8+ instruction(s),pmp/pmp_control.sail:13,opcode_sweep.py extensions/Zicbop/zicbop_insts.sail extensions/Zicbom/zicbom_insts.sail extensions/cfi/zicfiss_insts.sail
TP2301,sys,pte_is_non_leaf,helper_function,partial,5,2,3,40.0,0,0,,,"execute an instruction that calls this helper: amoswap, amoadd, amoxor, amoand, amoor, amomin, amomax, amominu, ...",pte_is_non_leaf() reached via 8+ instruction(s),sys/vmem_pte.sail:70,opcode_sweep.py extensions/A/zaamo_insts.sail extensions/cfi/zicfiss_insts.sail extensions/Zicbop/zicbop_insts.sail
TP2303,sys,pte_is_invalid,csr_field,partial,14,6,8,42.9,0,0,,,preload this CSR field before the instruction under test,menvcfg,sys/vmem_pte.sail:94,opcode_sweep.py sys/vmem_pte.sail
TP0139,core,legalize_xenvcfg_cbie,helper_function,partial,7,3,4,42.9,0,1,,else match xenvcfg_cbie_reserved_behavior,"execute an instruction that calls this helper: CSRImm, CSRReg",legalize_xenvcfg_cbie() reached via 2 instruction(s),core/sys_regs.sail:375,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
