id,name,classification,classified_by,config_key,xlen_requirement,support_predicate,source
Ext_Zvksed,zvksed,unprivileged,config key extensions.Zvksed.supported,extensions.Zvksed.supported,any,config extensions.Zvksed.supported,core/extensions.sail:399
Ext_Zvksh,zvksh,unprivileged,config key extensions.Zvksh.supported,extensions.Zvksh.supported,any,config extensions.Zvksh.supported,core/extensions.sail:403
Ext_Zvkt,zvkt,unprivileged,config key extensions.Zvkt.supported,extensions.Zvkt.supported,any,config extensions.Zvkt.supported,core/extensions.sail:407
Ext_Zvkn,zvkn,unprivileged,config key Not directly derivable from Sail,Not directly derivable from Sail,any,Not directly derivable from Sail,core/extensions.sail:414
Ext_Zvknc,zvknc,unprivileged,no config gate (always present),Not directly derivable from Sail,any,hartSupports(Ext_Zvkn) & hartSupports(Ext_Zvbc),core/extensions.sail:423
Ext_Zvkng,zvkng,unprivileged,no config gate (always present),Not directly derivable from Sail,any,hartSupports(Ext_Zvkn) & hartSupports(Ext_Zvkg),core/extensions.sail:428
Ext_Zvks,zvks,unprivileged,config key Not directly derivable from Sail,Not directly derivable from Sail,any,Not directly derivable from Sail,core/extensions.sail:433
Ext_Zvksc,zvksc,unprivileged,no config gate (always present),Not directly derivable from Sail,any,hartSupports(Ext_Zvks) & hartSupports(Ext_Zvbc),core/extensions.sail:442
Ext_Zvksg,zvksg,unprivileged,no config gate (always present),Not directly derivable from Sail,any,hartSupports(Ext_Zvks) & hartSupports(Ext_Zvkg),core/extensions.sail:447
Ext_Ssccptr,ssccptr,privileged,config key extensions.Ssccptr.supported,extensions.Ssccptr.supported,any,config extensions.Ssccptr.supported,core/extensions.sail:453
Ext_Sscofpmf,sscofpmf,privileged,config key extensions.Sscofpmf.supported,extensions.Sscofpmf.supported,any,config extensions.Sscofpmf.supported,core/extensions.sail:457
Ext_Sscounterenw,sscounterenw,privileged,config key extensions.Sscounterenw.supported,extensions.Sscounterenw.supported,any,config extensions.Sscounterenw.supported,core/extensions.sail:461
Ext_Ssnpm,ssnpm,privileged,config key extensions.Ssnpm.supported,extensions.Ssnpm.supported,64,config extensions.Ssnpm.supported : bool & (xlen == 64),core/extensions.sail:465
Ext_Ssstateen,ssstateen,privileged,config key extensions.Stateen.Ssstateen.supported,extensions.Stateen.Ssstateen.supported,any,config extensions.Stateen.Ssstateen.supported,core/extensions.sail:470
Ext_Sstc,sstc,privileged,config key extensions.Sstc.supported,extensions.Sstc.supported,any,config extensions.Sstc.supported,core/extensions.sail:474
Ext_Sstvala,sstvala,privileged,config key extensions.Sstvala.supported,extensions.Sstvala.supported,any,config extensions.Sstvala.supported,core/extensions.sail:478
Ext_Sstvecd,sstvecd,unprivileged,no config gate (always present),Not directly derivable from Sail,any,hartSupports(Ext_S),core/extensions.sail:484
Ext_Ssu64xl,ssu64xl,unprivileged,no config gate (always present),Not directly derivable from Sail,64,hartSupports(Ext_S) & (xlen == 64),core/extensions.sail:488
Ext_Svbare,svbare,privileged,config key extensions.Svbare.supported,extensions.Svbare.supported,any,config extensions.Svbare.supported,core/extensions.sail:493
Ext_Sv32,sv32,privileged,config key extensions.Sv32.supported,extensions.Sv32.supported,32,config extensions.Sv32.supported : bool & (xlen == 32),core/extensions.sail:496
Ext_Sv39,sv39,privileged,config key extensions.Sv39.supported,extensions.Sv39.supported,64,config extensions.Sv39.supported : bool & (xlen == 64),core/extensions.sail:499
Ext_Sv48,sv48,privileged,config key extensions.Sv48.supported,extensions.Sv48.supported,64,config extensions.Sv48.supported : bool & (xlen == 64),core/extensions.sail:502
Ext_Sv57,sv57,privileged,config key extensions.Sv57.supported,extensions.Sv57.supported,64,config extensions.Sv57.supported : bool & (xlen == 64),core/extensions.sail:505
Ext_Svade,svade,privileged,config key extensions.Svade.supported,extensions.Svade.supported,any,config extensions.Svade.supported,core/extensions.sail:510
Ext_Svadu,svadu,privileged,config key extensions.Svadu.supported,extensions.Svadu.supported,any,config extensions.Svadu.supported,core/extensions.sail:514
Ext_Svinval,svinval,privileged,config key extensions.Svinval.supported,extensions.Svinval.supported,any,config extensions.Svinval.supported,core/extensions.sail:518
Ext_Svnapot,svnapot,privileged,config key extensions.Svnapot.supported,extensions.Svnapot.supported,64,config extensions.Svnapot.supported : bool & (xlen == 64),core/extensions.sail:522
Ext_Svpbmt,svpbmt,privileged,config key extensions.Svpbmt.supported,extensions.Svpbmt.supported,64,config extensions.Svpbmt.supported : bool & (xlen == 64),core/extensions.sail:526
Ext_Svrsw60t59b,svrsw60t59b,privileged,config key extensions.Svrsw60t59b.supported,extensions.Svrsw60t59b.supported,any,config extensions.Svrsw60t59b.supported,core/extensions.sail:530
Ext_Svvptc,svvptc,privileged,config key extensions.Svvptc.supported,extensions.Svvptc.supported,any,config extensions.Svvptc.supported,core/extensions.sail:534
Ext_Smcntrpmf,smcntrpmf,privileged,config key extensions.Smcntrpmf.supported,extensions.Smcntrpmf.supported,any,config extensions.Smcntrpmf.supported,core/extensions.sail:539
Ext_Smmpm,smmpm,privileged,config key extensions.Smmpm.supported,extensions.Smmpm.supported,64,config extensions.Smmpm.supported : bool & (xlen == 64),core/extensions.sail:543
Ext_Smnpm,smnpm,privileged,config key extensions.Smnpm.supported,extensions.Smnpm.supported,64,config extensions.Smnpm.supported : bool & (xlen == 64),core/extensions.sail:548
Ext_Smstateen,smstateen,privileged,config key extensions.Stateen.Smstateen.supported,extensions.Stateen.Smstateen.supported,any,config extensions.Stateen.Smstateen.supported,core/extensions.sail:553
Ext_Ssqosid,ssqosid,privileged,config key extensions.Ssqosid.supported,extensions.Ssqosid.supported,any,config extensions.Ssqosid.supported,core/extensions.sail:558
Ext_Sspm,sspm,unprivileged,no config gate (always present),Not directly derivable from Sail,any,hartSupports(Ext_Smnpm) & hartSupports(Ext_S),core/extensions.sail:567
Ext_Supm,supm,unprivileged,no config gate (always present),Not directly derivable from Sail,any,hartSupports(Ext_U) & (if hartSupports(Ext_S) then hartSupports(Ext_Ssnpm) else hartSupports(Ext_Smnpm)),core/extensions.sail:572
